,BiGG_ID,sample_id,author,flux,normalized_flux,relative_error
3233,RPI,fbp,Millard,0.03765671434338957,9.414178585838481,16.845032200122386
3234,RPI,fbp,iML1515,-0.37934339119229815,-13.263754936793644,182.93277471137537
3235,RPI,gnd,ECC2,-0.13993538,-4.892845454545454,202.1900251387462
3236,RPI,gnd,Ec_core,-0.13657200000000005,-4.742083333333333,205.4388893770319
3237,RPI,gnd,Exp_ECC2,-0.14468878555690912,-5.059048446045773,198.8328151691861
3238,RPI,gnd,Exp_iML1515,-0.13985431333324974,-4.890010955708253,202.24925967013127
3239,RPI,gnd,Ishii,0.146,5.0,0.0
3240,RPI,gnd,Khodayari,-9.089315624978295e-05,-0.0009404727264736085,1000.0
3241,RPI,gnd,Kurata,1.274714888205447,0.1279805215789059,1000.0
3242,RPI,gnd,Millard,0.02372675899421859,5.9316897485743265,15.706987183513043
3243,RPI,gnd,iML1515,-0.13985431333333415,-4.859706956441401,202.88686220827873
3244,RPI,gpmA,ECC2,-0.3356613880000002,-11.736412167832176,193.72540639079995
3245,RPI,gpmA,Exp_ECC2,-0.25913538,-9.060677622377623,221.40372341283543
3246,RPI,gpmA,Exp_iML1515,-0.3257209799999472,-11.388845454543608,196.5857342072503
3247,RPI,gpmA,Ishii,0.297,11.0,0.0
3248,RPI,gpmA,Kurata,1.0591378846724563e-05,2.319464258516609e-06,1000.0
3249,RPI,gpmB,Ishii,0.2997,9.0,0.0
3250,RPI,pfkA,ECC2,-0.33566138800000017,-11.736412167832176,193.72540639079995
3251,RPI,pfkA,Ec_core,-2.8075789999999983,-98.16709790209782,111.20538371315642
3252,RPI,pfkA,Exp_ECC2,-0.25539960707379594,-8.930056191391467,223.17951605504956
3253,RPI,pfkA,Exp_iML1515,-0.32572098000007976,-11.388845454548244,196.58573420721103
3254,RPI,pfkA,Ishii,0.2992,11.0,0.0
3255,RPI,pfkA,Khodayari,-9.754548646778744,-10.642723511309057,203.35700244689528
3256,RPI,pfkA,Kurata,233.31192516803534,15.59161628072706,29.449264258785018
3257,RPI,pfkA,Millard,2.092735469141156e-06,0.20980090577225458,1000.0
3258,RPI,pfkA,iML1515,-0.3793433911923085,-13.263754936794006,182.9327747113731
3259,RPI,pfkB,ECC2,-0.33566138800000017,-11.736412167832176,278.93032129152715
3260,RPI,pfkB,Ec_core,-2.8075789999999983,-98.16709790209782,121.39209617966229
3261,RPI,pfkB,Exp_ECC2,-0.25539960707379594,-8.930056191391467,335.16089428691276
3262,RPI,pfkB,Exp_iML1515,-0.32572098000007976,-11.388845454548244,284.39094712285737
3263,RPI,pfkB,Ishii,0.5964,21.0,0.0
3264,RPI,pfkB,Khodayari,-9.754548646778744,-10.642723511309057,297.3179137622546
3265,RPI,pfkB,Kurata,233.31192516803534,15.59161628072706,34.6877682332286
